,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,lofd_o_delta%,hofd_lofd_delta%
156,355,2010-04-07 13:30:00,5.215781,5.247448,5.083283,5.154116,4.1130518600000014,4.946462319871831,4.470929519999999,63939396,45269193.2,66.4322267993751,1.412426232504625,0.14436690735248486,5.244948,-0.02916700000000016,-0.5560970289886604,-1.182277400067212,0.6071382214859204,-2.5403290513923036,3.229507387253485
157,356,2010-04-08 13:30:00,5.097449,5.225782,5.049125,5.202447,4.1260808900000026,4.97084181321737,4.47588696,44216828,45060297.0,68.19239833347487,0.9812813262193988,0.15243943051436354,5.154116,-0.05666700000000002,-1.0994513899182716,2.0598146249231752,2.5175926232905828,-0.9480035994474889,3.498764637437172
160,359,2010-04-13 13:30:00,5.320781,5.37078,5.234948,5.344947,4.1656329900000015,5.063646051490979,4.49517844,31627984,43338364.4,72.84530270261082,0.7297918238926433,0.1266665722482471,5.3366120000000015,-0.015831000000000373,-0.29664888509789306,0.45418144441577524,0.939692875914263,-1.6131654356757033,2.5947153629797226
162,361,2010-04-15 13:30:00,5.4999449999999985,5.577443,5.494111,5.545778,4.192511895000003,5.14931249566495,4.508803309999999,29304928,42074417.6,78.31437701897758,0.6965022850369771,0.12645750938963884,5.524945,-0.025000000000000355,-0.4524931922399292,0.8333356060833663,1.4090686361409286,-0.10607378801057724,1.5167512997098076
163,362,2010-04-16 13:30:00,5.491611,5.515778,5.200781,5.2861970000000005,4.204793015000004,5.162349115125432,4.515240739999999,90876068,44633227.8,60.263989213103436,2.0360630964718176,0.1810923820422292,5.545778,-0.05416700000000052,-0.9767249969255984,-3.740505290706121,0.4400712286431117,-5.295895867351123,6.056724941888534
164,363,2010-04-19 13:30:00,5.238281,5.342437,5.154948,5.329948,4.2171303950000025,5.178310913684913,4.52789063,56596740,45224571.0,61.85961088089198,1.2514599640978352,0.18269153653167194,5.2861970000000005,-0.047916000000000736,-0.9064361392509724,1.7499443042479044,1.9883622127182674,-1.5908463100776697,3.637068695940293
168,367,2010-04-23 13:30:00,5.508279,5.636777,5.465779,5.623277,4.276634010000004,5.292484860065156,4.58111103,49660756,44734802.6,70.69881161356112,1.1101145665947345,0.1927893142932244,5.512453,-0.0041739999999999,-0.07571946645168494,2.08773012405508,2.332815748802856,-0.7715658556874032,3.1285201981272928
170,369,2010-04-27 13:30:00,5.474945,5.562435,5.144949,5.171615,4.305698300000004,5.3046301371508395,4.60501494,91018328,46521916.4,48.00971526349542,1.9564612776785781,0.23724461428993865,5.567027,-0.09208199999999957,-1.6540605964368336,-5.540329628882114,1.5980069206174647,-6.0273847499837805,8.114482767467653
177,376,2010-05-06 13:30:00,4.845784,4.942451,3.4666330000000003,4.421631,4.382182570000005,5.174971488305834,4.669624369999998,129265388,56610456.6,32.911251668806464,2.2834189258243853,0.5824779102448789,4.915785,-0.07000099999999954,-1.4240045079270054,-8.753031501197752,1.9948681162841775,-28.460843487864913,42.57208651737867
178,377,2010-05-07 13:30:00,4.374956,4.522455,4.02246,4.202457,4.387499180000005,5.082351060848136,4.669066019999999,100555520,59860890.2,29.873140667147414,1.679819990381633,0.5618571826836593,4.421631,-0.04667499999999958,-1.055605951740423,-3.9428739397607693,3.371439621335616,-8.05713246030361,12.430080100237175
182,381,2010-05-13 13:30:00,4.914951,4.9849510000000015,4.752452,4.772452,4.415761405000005,4.992157399441538,4.689940819999999,50699100,66105114.6,44.937962110919045,0.7669467076303956,0.3875001281147517,4.945785,-0.03083399999999958,-0.6234399594806402,-2.899296452802885,1.4242257959438696,-3.30621810878685,4.892190389298021
186,385,2010-05-19 13:30:00,4.254957,4.372456,4.083293,4.247041,4.434275795000005,4.792825773379512,4.691186649999998,104282912,72039731.4,36.39704256820967,1.4475749697201117,0.3560681616300581,4.331623,-0.07666600000000033,-1.7699139560391184,-0.18604183309020073,2.7614615141821544,-4.034447351641857,7.081612806134641
189,388,2010-05-24 13:30:00,3.869961,3.957461,3.765796,3.774962,4.437054940000005,4.5394970650696544,4.669770189999999,76280824,83223856.8,32.08888719896186,0.9165740081394546,0.34175234943768074,3.911628,-0.0416669999999999,-1.065208654810731,-2.454779260049392,2.261004697463357,-2.6916291921288114,5.089627797150987
193,392,2010-05-28 13:30:00,4.088292,4.0949589999999985,3.893377,3.96496,4.441533220000005,4.330049648206984,4.644233779999999,73217472,83660570.0,39.344295218050796,0.8751729996580229,0.31002536837676625,4.099958999999999,-0.011666999999999206,-0.2845638212479493,-3.0167121135183104,0.16307543590326778,-4.767638906418621,5.177561792757248
205,404,2010-06-16 13:30:00,4.128291,4.235791000000001,4.097467,4.179124,4.447805630000004,4.02611972717215,4.54994049,50459148,74833942.0,51.412452816019275,0.6742815713222752,0.2236340618823478,4.185791,-0.057500000000000114,-1.3736949599251398,1.2313327718419051,2.6039831009975027,-0.7466527916757797,3.3758417090363575
211,410,2010-06-24 13:30:00,3.854128,3.866627,3.684131,3.709129,4.457124280000004,4.008804063374225,4.54632883,64457384,59740676.0,39.701657396862146,1.0789530403037286,0.2124393222930253,3.904961,-0.05083300000000035,-1.3017543581101154,-3.7621739599722765,0.3243016319125777,-4.410777223797456,4.953569783484898
215,414,2010-06-30 13:30:00,3.342467,3.4407980000000005,3.243301,3.258302,4.4457902300000045,3.841611227641735,4.52778737,69877308,60485840.6,31.312141829583393,1.155267204800986,0.22944194572552745,3.3683,-0.02583300000000044,-0.7669447495769509,-2.5180502903992785,2.9418689847947754,-2.96685053285492,6.089382391581918
222,421,2010-07-12 13:30:00,3.689130000000001,3.759129,3.63663,3.723295,4.413681765000003,3.6721568184406914,4.49392601,40843452,59698093.2,49.01868758845782,0.684166776703682,0.1757915764954669,3.720795,-0.03166499999999939,-0.851027804541755,0.9260991073775898,1.897439233640431,-1.4230997552268716,3.368475759150652
224,423,2010-07-14 13:30:00,3.869127,3.945127,3.818296,3.896627,4.411169290000003,3.713307957952584,4.48600941,37107128,59683502.8,54.137363408745,0.6217317392436961,0.17246526177870006,3.901628,-0.03250100000000033,-0.8330112455621175,0.7107546482707819,1.9642673915847069,-1.313758891863722,3.321664952114757
225,424,2010-07-15 13:30:00,3.894128,3.938293,3.738296,3.904961,4.4090318050000015,3.7315606286237664,4.48201779,60341892,60177640.0,54.39296712322496,1.0027294523347874,0.179348196334025,3.896627,-0.002498999999999807,-0.06413238937162337,0.2781880821585812,1.134143510434172,-4.001717457669593,5.349950886714154
226,425,2010-07-16 13:30:00,3.838295,3.845794,3.55413,3.574963,4.405356835000003,3.716646568754837,4.4762845,60516604,60015268.2,43.94833663479071,1.0083534709589117,0.22221889725051885,3.904961,-0.06666600000000056,-1.7072129529590834,-6.860650366894679,0.19537320607197062,-7.403417402779104,8.20634022953579
231,430,2010-07-23 13:30:00,3.834962,3.981627,3.804128,3.970294,4.397941485000001,3.744223301800636,4.4492414500000015,42507724,57697464.8,55.91779933528409,0.7367346927173827,0.2294483291326915,3.859962,-0.024999999999999908,-0.6476747698552449,3.528900677503454,3.824418599193422,-0.804023612228753,4.665957612362152
