,date,open,high,low,close,vwap,volume,volume_ma,rsi,date2,time_of_day
4837,2011-09-29 15:30:00,4.1999580000000005,4.24495755,4.18912478,4.22245778,4.22023996040013,7513045,6488276.05,47.777757626585064,2011-09-29,10.5
4838,2011-09-29 16:30:00,4.22079113,4.22079113,4.13829195,4.1399586,4.208838984752752,5650925,6328256.55,43.07509650938027,2011-09-29,11.5
4839,2011-09-29 17:30:00,4.14162525,4.14912518,3.9666269999999995,4.02862638,4.151202148980849,14936556,6719916.35,37.6845024643027,2011-09-29,12.5
4840,2011-09-29 18:30:00,4.03579298,4.05829275,3.95226048,4.03162635,4.121894026091364,11319635,7078486.45,37.90998497347064,2011-09-29,13.5
4841,2011-09-29 19:30:00,4.03829295,4.17912488,4.02495975,4.17579158,4.122526152160333,8167986,6814595.05,47.70310348201554,2011-09-29,14.5
4884,2011-10-10 13:30:00,4.3099569,4.44572221,4.2832905,4.43078903,4.38660058,7627919,7956854.95,66.7646202705406,2011-10-10,8.5
4885,2011-10-10 14:30:00,4.4299557,4.46245538,4.41495585,4.43603897,4.40844075236159,5671132,7841302.85,66.91543579187194,2011-10-10,9.5
4886,2011-10-10 15:30:00,4.43828895,4.45487212,4.42495575,4.44162225,4.41281459716667,2102297,7502372.7,67.08649218742485,2011-10-10,10.5
4887,2011-10-10 16:30:00,4.44578888,4.4732886,4.419955799999999,4.45495545,4.418218028184117,2668858,7059587.05,67.51839010790407,2011-10-10,11.5
4888,2011-10-10 17:30:00,4.45295547,4.46078873,4.42245578,4.44495555,4.421074027634141,2382738,6613187.95,66.81028744178683,2011-10-10,12.5
4889,2011-10-10 18:30:00,4.4499555,4.45495545,4.36245638,4.38245618,4.418307217237476,3083688,6275113.25,62.40515203375865,2011-10-10,13.5
4890,2011-10-10 19:30:00,4.38162285,4.50828825,4.36578968,4.50412163,4.424202163522591,3941940,5791083.3,66.97068792507139,2011-10-10,14.5
4912,2011-10-14 13:30:00,4.79161875,4.82745173,4.73495265,4.73495265,4.765785676666667,5885524,3893455.85,65.0906858492596,2011-10-14,8.5
4913,2011-10-14 14:30:00,4.73451932,4.77578558,4.7099529,4.71745283,4.755161528188245,3011337,3941510.05,63.49136738444921,2011-10-14,9.5
4914,2011-10-14 15:30:00,4.71909448,4.74578588,4.70411963,4.72495275,4.749347411812675,2120439,3940251.1,63.900743120511635,2011-10-14,10.5
4915,2011-10-14 16:30:00,4.72503608,4.77495225,4.72495275,4.75745243,4.74980927135366,1925104,3928223.85,65.69581079896781,2011-10-14,11.5
4916,2011-10-14 17:30:00,4.75911908,4.79411873,4.7499525,4.78578548,4.75291703794457,1696996,3846120.0,67.22588490817958,2011-10-14,12.5
4917,2011-10-14 18:30:00,4.78495215,4.82578508,4.7599524,4.82245178,4.7642972564245065,4334862,3868137.95,69.14395307048662,2011-10-14,13.5
4918,2011-10-14 19:30:00,4.82495175,4.866618,4.79245208,4.86411803,4.778047979287567,4140458,3686107.05,71.2061707168042,2011-10-14,14.5
4947,2011-10-21 13:30:00,4.89411773,5.00828325,4.8832845,5.00244998,4.964672576666667,6643442,3950992.45,67.98706139092647,2011-10-21,8.5
4948,2011-10-21 14:30:00,5.00411663,5.01828315,4.933284,4.96495035,4.967330911464437,3647665,3978491.55,64.96355585397015,2011-10-21,9.5
4949,2011-10-21 15:30:00,4.96658367,4.98828345,4.94078393,4.95494212,4.966200491587245,2391713,4002768.8,64.14367020955986,2011-10-21,10.5
4950,2011-10-21 16:30:00,4.95495045,4.95578378,4.86495135,4.866618,4.9499110243764735,3816907,4077639.95,57.27383269147124,2011-10-21,11.5
4951,2011-10-21 17:30:00,4.86745133,4.92828405,4.85411813,4.91245088,4.9436777454832255,2265691,3817372.75,59.68664801337344,2011-10-21,12.5
4952,2011-10-21 18:30:00,4.90911758,4.96828365,4.89161775,4.94745053,4.942745248849689,2513720,3562028.15,61.47575187679779,2011-10-21,13.5
4953,2011-10-21 19:30:00,4.9466171999999995,4.99995,4.9166175,4.99911668,4.9475625152127245,4212822,3528803.0,64.01461822963836,2011-10-21,14.5
4975,2011-10-27 13:30:00,5.46577868,5.51161155,5.34577988,5.35827975,5.405223726666668,9237517,3489533.65,70.5171617360988,2011-10-27,8.5
4976,2011-10-27 14:30:00,5.35577978,5.42244578,5.33744663,5.399946,5.400757561985554,2916718,3491707.0,71.87321593246756,2011-10-27,9.5
4977,2011-10-27 15:30:00,5.4066126,5.51744483,5.39494605,5.49498672,5.415785551830707,3424309,3557940.9,74.72849669907289,2011-10-27,10.5
4978,2011-10-27 16:30:00,5.49744503,5.54911118,5.48332017,5.53911128,5.434451986805398,3252912,3556801.4,75.94920936815149,2011-10-27,11.5
4979,2011-10-27 17:30:00,5.53827795,5.61077723,5.53494465,5.59911068,5.452795191161709,2681578,3493674.85,77.5380523793131,2011-10-27,12.5
