time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,200 MA,100 MA,20 EMA,Volume,Volume MA,RSI
1507728600,254.51,255.02,254.32,255.02,NaN,NaN,NaN,NaN,254.7866667,239.826,246.0117,251.7815259,47674325,60910828.45,74.67217711
1507815000,254.66,255.06,254.365,254.64,NaN,NaN,NaN,NaN,254.6883333,239.96785,246.1629,252.0537615,47080269,58492524.45,71.37001717
1507901400,255.14,255.27,254.64,254.95,NaN,NaN,NaN,NaN,254.9533333,240.1206,246.3119,252.3295938,54800435,56460927.1,72.44072235
1508160600,255.21,255.51,254.82,255.29,NaN,NaN,NaN,NaN,255.2066667,240.2753,246.4587,252.6115372,38521675,56075248.95,73.60658222
1508247000,255.23,255.52,254.98,255.47,NaN,NaN,NaN,NaN,255.3233333,240.435,246.5958,252.8837718,31560964,55297889.75,74.22816942
1508333400,255.9,255.95,255.5,255.72,NaN,NaN,NaN,NaN,255.7233333,240.5874,246.7359,253.1538887,40888330,54363602.1,75.10510738
1508419800,254.83,255.83,254.35,255.79,NaN,NaN,NaN,NaN,255.3233333,240.73345,246.8788,253.404947,61903788,55048221.6,75.3579459
1508506200,256.7,257.14,255.7744,257.11,NaN,NaN,NaN,NaN,256.6748,240.887,247.0355,253.7578092,89176377,56946338.85,79.57135079
1508765400,257.48,257.51,256.02,256.11,NaN,NaN,NaN,NaN,256.5466667,241.0315,247.163,253.9818273,63915306,57288886.3,69.8301988
1508851800,256.6,256.83,256.15,256.56,NaN,NaN,NaN,NaN,256.5133333,241.182,247.2869,254.2273676,66935910,57931583.85,71.5198353
1508938200,256.18,256.31,254,255.29,NaN,NaN,NaN,NaN,255.2,241.32615,247.3999,254.3285707,103715291,59067277.1,61.1168561
1509024600,255.99,256.3,255.48,255.62,NaN,NaN,NaN,NaN,255.8,241.46875,247.524,254.4515639,69797972,60318233.65,62.63761618
1509111000,256.47,257.89,255.6254,257.71,NaN,NaN,NaN,NaN,257.0751333,241.62465,247.6645,254.7618912,85562544,60317460.75,70.5054923
1509370200,257.07,257.6,256.41,256.75,NaN,NaN,NaN,NaN,256.92,241.77315,247.7942,254.9512349,54285687,60080595.85,63.85397807
1509456600,257.18,257.44,256.805,257.15,NaN,NaN,NaN,NaN,257.1316667,241.92765,247.9316,255.1606411,60304781,59755326.45,65.32197573
1509543000,258.04,258.43,257.07,257.49,NaN,NaN,NaN,NaN,257.6633333,242.08135,248.0729,255.3824848,54202736,59667782.3,66.56497291
1509629400,257.41,257.75,256.19,257.59,NaN,NaN,NaN,NaN,257.1766667,242.23975,248.2033,255.5927243,56449535,59314121.2,66.94030902
1509715800,257.77,258.5,257.3,258.45,NaN,NaN,NaN,NaN,258.0833333,242.3983,248.3454,255.8648458,59589730,58261307.8,70.05377349
1509978600,258.3,259,258.22,258.85,NaN,NaN,NaN,NaN,258.69,242.5618,248.4962,256.1491462,49652598,58953780.8,71.40278332
1510065000,258.97,259.35,258.09,258.67,NaN,NaN,NaN,NaN,258.7033333,242.71715,248.6565,256.3892275,57502161,59676020.7,69.87730393
1510151400,258.47,259.22,258.15,259.11,NaN,NaN,NaN,NaN,258.8266667,242.86485,248.801,256.6483487,50469579,59815783.4,71.48123875
1510237800,257.73,258.39,256.36,258.17,NaN,NaN,NaN,NaN,257.64,243.00905,248.9526,256.7932679,95085497,62216044.8,63.68012445
1510324200,257.73,258.2926,257.37,258.09,NaN,NaN,NaN,NaN,257.9175333,243.15465,249.104,256.9167662,59984662,62475256.15,63.04946804
1510583400,257.31,258.59,257.27,258.33,NaN,NaN,NaN,NaN,258.0633333,243.30855,249.2589,257.0513599,50228648,63060604.8,64.19508005
1510669800,257.41,257.85,256.52,257.73,NaN,NaN,NaN,NaN,257.3666667,243.45955,249.4049,257.1159923,61315152,64548314.2,59.24940533
1510756200,256.62,257.22,255.63,256.44,NaN,NaN,NaN,NaN,256.43,243.60365,249.5364,257.0516121,80811525,66544473.95,50.28037565
1510842600,257.52,259.04,257.4748,258.62,NaN,NaN,NaN,NaN,258.3782667,243.7579,249.7093,257.2009823,67777027,66838135.9,61.01933456
1510929000,258.22,258.5882,257.77,257.86,NaN,NaN,NaN,NaN,258.0727333,243.9005,249.853,257.2637459,75756833,66167158.7,56.4423328
